,0,1
79,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.75_clem=2.25_pft=0.3_kde=25.0_characters.txt,244
173,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.75_clem=2.25_pft=0.5_kde=25.0_characters.txt,244
113,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.75_clem=2.25_pft=0.8_kde=25.0_characters.txt,244
184,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.6_clem=1.5_pft=0.5_kde=25.0_characters.txt,247
94,hfm=1.5_bcm=18.0_bksm=0.3_lscm=1.0_clem=1.0_pft=0.5_kde=25.0_characters.txt,247
3,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.6_clem=1.5_pft=0.8_kde=25.0_characters.txt,247
223,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.6_clem=1.5_pft=0.8_kde=25.0_characters.txt,248
37,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.6_clem=1.5_pft=0.3_kde=25.0_characters.txt,248
40,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.6_clem=1.5_pft=0.5_kde=25.0_characters.txt,248
115,hfm=1.5_bcm=18.0_bksm=0.45_lscm=1.0_clem=1.0_pft=0.8_kde=25.0_characters.txt,249
195,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.6_clem=1.5_pft=0.3_kde=25.0_characters.txt,250
166,hfm=1.5_bcm=18.0_bksm=0.2_lscm=0.6_clem=2.25_pft=0.5_kde=25.0_characters.txt,250
109,hfm=1.5_bcm=18.0_bksm=0.2_lscm=0.6_clem=2.25_pft=0.8_kde=25.0_characters.txt,250
86,hfm=1.5_bcm=18.0_bksm=0.2_lscm=0.6_clem=2.25_pft=0.3_kde=25.0_characters.txt,251
170,hfm=1.5_bcm=18.0_bksm=0.45_lscm=1.0_clem=1.0_pft=0.5_kde=25.0_characters.txt,251
175,hfm=1.5_bcm=18.0_bksm=0.3_lscm=1.0_clem=1.0_pft=0.3_kde=25.0_characters.txt,255
38,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.75_clem=1.5_pft=0.8_kde=25.0_characters.txt,256
215,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.75_clem=1.5_pft=0.5_kde=25.0_characters.txt,256
213,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.6_clem=2.25_pft=0.3_kde=25.0_characters.txt,258
81,hfm=1.5_bcm=18.0_bksm=0.45_lscm=1.0_clem=1.0_pft=0.3_kde=25.0_characters.txt,258
238,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.6_clem=2.25_pft=0.8_kde=25.0_characters.txt,258
55,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.6_clem=2.25_pft=0.5_kde=25.0_characters.txt,258
123,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.75_clem=1.5_pft=0.5_kde=25.0_characters.txt,259
68,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.75_clem=1.5_pft=0.8_kde=25.0_characters.txt,259
4,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.75_clem=1.5_pft=0.3_kde=25.0_characters.txt,259
102,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.75_clem=1.5_pft=0.3_kde=25.0_characters.txt,260
178,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.6_clem=2.25_pft=0.3_kde=25.0_characters.txt,262
93,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.6_clem=2.25_pft=0.5_kde=25.0_characters.txt,262
155,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.6_clem=2.25_pft=0.8_kde=25.0_characters.txt,262
127,hfm=1.5_bcm=18.0_bksm=0.2_lscm=1.0_clem=1.0_pft=0.8_kde=25.0_characters.txt,269
71,hfm=1.5_bcm=18.0_bksm=0.2_lscm=1.0_clem=1.0_pft=0.5_kde=25.0_characters.txt,269
84,hfm=1.5_bcm=12.0_bksm=0.45_lscm=1.0_clem=1.0_pft=0.5_kde=25.0_characters.txt,271
153,hfm=1.5_bcm=12.0_bksm=0.3_lscm=1.0_clem=1.0_pft=0.5_kde=25.0_characters.txt,271
74,hfm=1.5_bcm=18.0_bksm=0.3_lscm=1.0_clem=1.5_pft=0.5_kde=25.0_characters.txt,271
